Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1999-2000,22,Milan,it ITA,1. Serie A,3rd,32,30,2593,28.8,24,5,29,16,8,9,3,0,0.83,0.17,1.01,0.56,0.73,Matches
2000-2001,23,Milan,it ITA,1. Serie A,6th,34,33,2969,33.0,24,3,27,18,6,6,0,0,0.73,0.09,0.82,0.55,0.64,Matches
2001-2002,24,Milan,it ITA,1. Serie A,4th,29,28,2423,26.9,14,4,18,11,3,5,1,0,0.52,0.15,0.67,0.41,0.56,Matches
2002-2003,25,Milan,it ITA,1. Serie A,3rd,23,18,1572,17.5,5,1,6,5,0,0,0,0,0.29,0.06,0.34,0.29,0.34,Matches
2003-2004,26,Milan,it ITA,1. Serie A,1st,32,30,2683,29.8,24,3,27,23,1,1,2,0,0.81,0.10,0.91,0.77,0.87,Matches
2004-2005,27,Milan,it ITA,1. Serie A,2nd,29,27,2251,25.0,17,6,23,16,1,1,3,0,0.68,0.24,0.92,0.64,0.88,Matches
2005-2006,28,Milan,it ITA,1. Serie A,3rd,28,27,2199,24.4,19,6,25,14,5,5,1,0,0.78,0.25,1.02,0.57,0.82,Matches
2006-2007,29,Chelsea,eng ENG,1. Premier League,2nd,30,22,1807,20.1,4,6,10,4,0,0,1,0,0.20,0.30,0.50,0.20,0.50,Matches
2007-2008,30,Chelsea,eng ENG,1. Premier League,2nd,17,8,745,8.3,5,1,6,4,1,1,0,0,0.60,0.12,0.72,0.48,0.60,Matches
2008-2009,31,Milan,it ITA,1. Serie A,3rd,18,2,464,5.2,0,1,1,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19,Matches
2009-2010,32,Chelsea,eng ENG,1. Premier League,1st,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2009-2010,32,Dynamo Kyiv,ua UKR,1. Premier League,2nd,21,19,1656,18.4,7,6,13,6,1,1,4,0,0.38,0.33,0.71,0.33,0.65,Matches
2010-2011,33,Dynamo Kyiv,ua UKR,1. Premier League,2nd,18,16,1343,14.9,10,0,10,8,2,2,3,0,0.67,0.00,0.67,0.54,0.54,Matches
2011-2012,34,Dynamo Kyiv,ua UKR,1. Premier League,2nd,16,12,1069,11.9,6,3,9,5,1,1,2,0,0.51,0.25,0.76,0.42,0.67,Matches
13 Seasons,13 Seasons,3 Clubs,,3 Leagues,,328,272,23779,264.2,159,45,204,130,29,32,20,0,0.60,0.17,0.77,0.49,0.66,
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Milan (8 Seasons),Milan (8 Seasons),Milan (8 Seasons),,1 League,,225,195,17154,190.6,127,29,156,103,24,27,10,0,0.67,0.15,0.82,0.54,0.69,
Dynamo Kyiv (3 Seasons),Dynamo Kyiv (3 Seasons),Dynamo Kyiv (3 Seasons),,1 League,,55,47,4068,45.2,23,9,32,19,4,4,9,0,0.51,0.20,0.71,0.42,0.62,
Chelsea (3 Seasons),Chelsea (3 Seasons),Chelsea (3 Seasons),,1 League,,48,30,2557,28.4,9,7,16,8,1,1,1,0,0.32,0.25,0.56,0.28,0.53,
,,,,,,,,,,,,,,,,,,,,,,,
Serie A (8 Seasons),Serie A (8 Seasons),Serie A (8 Seasons),,,,225,195,17154,190.6,127,29,156,103,24,27,10,0,0.67,0.15,0.82,0.54,0.69,
Premier League (3 Seasons),Premier League (3 Seasons),Premier League (3 Seasons),,,,55,47,4068,45.2,23,9,32,19,4,4,9,0,0.51,0.20,0.71,0.42,0.62,
Premier League (3 Seasons),Premier League (3 Seasons),Premier League (3 Seasons),,,,48,30,2557,28.4,9,7,16,8,1,1,1,0,0.32,0.25,0.56,0.28,0.53,
