Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1991-1992,17,Napoli,it ITA,1. Serie A,4th,0,0,,0.0,0,,,,,,0,0,,,,,,Matches
1992-1993,18,Napoli,it ITA,1. Serie A,11th,2,2,150,1.7,0,,,0,0,,0,0,0.00,,,0.00,,Matches
1993-1994,19,Napoli,it ITA,1. Serie A,6th,27,27,2284,25.4,0,,,0,0,,8,0,0.00,,,0.00,,Matches
1994-1995,20,Napoli,it ITA,1. Serie A,7th,29,28,2502,27.8,1,,,1,0,,6,2,0.04,,,0.04,,Matches
1995-1996,21,Parma,it ITA,1. Serie A,6th,29,29,2610,29.0,1,,,1,0,,8,0,0.03,,,0.03,,Matches
1996-1997,22,Parma,it ITA,1. Serie A,2nd,27,25,2244,24.9,0,,,0,0,,7,1,0.00,,,0.00,,Matches
1997-1998,23,Parma,it ITA,1. Serie A,6th,31,31,2745,30.5,0,,,0,0,,9,0,0.00,,,0.00,,Matches
1998-1999,24,Parma,it ITA,1. Serie A,4th,30,30,2609,29.0,1,0,1,1,0,0,10,1,0.03,0.00,0.03,0.03,0.03,Matches
1999-2000,25,Parma,it ITA,1. Serie A,5th,31,31,2763,30.7,2,4,6,2,0,0,4,0,0.07,0.13,0.20,0.07,0.20,Matches
2000-2001,26,Parma,it ITA,1. Serie A,4th,29,29,2540,28.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
2001-2002,27,Parma,it ITA,1. Serie A,10th,26,26,2340,26.0,0,0,0,0,0,0,10,1,0.00,0.00,0.00,0.00,0.00,Matches
2002-2003,28,Inter,it ITA,1. Serie A,2nd,28,27,2425,26.9,0,2,2,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,Matches
2003-2004,29,Inter,it ITA,1. Serie A,4th,22,22,1927,21.4,2,1,3,2,0,0,2,0,0.09,0.05,0.14,0.09,0.14,Matches
2004-2005,30,Juventus,it ITA,1. Serie A,1st,38,38,3334,37.0,2,0,2,2,0,0,2,0,0.05,0.00,0.05,0.05,0.05,Matches
2005-2006,31,Juventus,it ITA,1. Serie A,20th,36,36,3201,35.6,4,0,4,4,0,0,7,1,0.11,0.00,0.11,0.11,0.11,Matches
2006-2007,32,Real Madrid,es ESP,1. La Liga,1st,32,32,2769,30.8,0,1,1,0,0,0,14,2,0.00,0.03,0.03,0.00,0.03,Matches
2007-2008,33,Real Madrid,es ESP,1. La Liga,1st,33,33,2788,31.0,0,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches
2008-2009,34,Real Madrid,es ESP,1. La Liga,2nd,29,29,2423,26.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
2009-2010,35,Juventus,it ITA,1. Serie A,7th,27,27,2390,26.6,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches
19 Seasons,19 Seasons,5 Clubs,,2 Leagues,,506,502,44044,489.4,13,8,19,13,0,0,110,9,0.03,0.02,0.05,0.03,0.05,
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Parma (7 Seasons),Parma (7 Seasons),Parma (7 Seasons),,1 League,,203,201,17851,198.3,4,4,7,4,0,0,51,3,0.02,0.04,0.06,0.02,0.06,
Napoli (4 Seasons),Napoli (4 Seasons),Napoli (4 Seasons),,1 League,,58,57,4936,54.8,1,,,1,0,,14,2,0.02,,,0.02,,
Juventus (3 Seasons),Juventus (3 Seasons),Juventus (3 Seasons),,1 League,,101,101,8925,99.2,6,0,6,6,0,0,16,1,0.06,0.00,0.06,0.06,0.06,
Real Madrid (3 Seasons),Real Madrid (3 Seasons),Real Madrid (3 Seasons),,1 League,,94,94,7980,88.7,0,1,1,0,0,0,23,3,0.00,0.01,0.01,0.00,0.01,
Inter (2 Seasons),Inter (2 Seasons),Inter (2 Seasons),,1 League,,50,49,4352,48.4,2,3,5,2,0,0,6,0,0.04,0.06,0.10,0.04,0.10,
,,,,,,,,,,,,,,,,,,,,,,,
Serie A (16 Seasons),Serie A (16 Seasons),Serie A (16 Seasons),,,,412,408,36064,400.7,13,7,18,13,0,0,87,6,0.03,0.03,0.07,0.03,0.07,
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,94,94,7980,88.7,0,1,1,0,0,0,23,3,0.00,0.01,0.01,0.00,0.01,
