Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
2004-2005,16,Bristol City,eng ENG,3. League One,7th,12,8,648,7.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,
2005-2006,17,Bristol City,eng ENG,3. League One,9th,45,37,3262,36.2,7,3,10,7,0,0,2,0,0.19,0.08,0.28,0.19,0.28,
2006-2007,18,Bristol City,eng ENG,3. League One,2nd,5,3,274,3.0,1,0,1,0,1,1,1,0,0.33,0.00,0.33,0.00,0.00,Matches
2006-2007,18,Wigan Athletic,eng ENG,1. Premier League,17th,17,6,626,7.0,1,0,1,1,0,0,3,0,0.14,0.00,0.14,0.14,0.14,Matches
2007-2008,19,Wigan Athletic,eng ENG,1. Premier League,14th,2,2,97,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2007-2008,19,Sheffield Utd,eng ENG,2. Championship,9th,16,15,1232,13.7,0,2,2,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,Matches
2008-2009,20,Sheffield Utd,eng ENG,2. Championship,3rd,24,17,1377,15.3,4,7,11,0,4,4,0,0,0.26,0.46,0.72,0.00,0.46,
2009-2010,21,Sheffield Utd,eng ENG,2. Championship,8th,14,3,519,5.8,2,0,2,1,1,1,3,0,0.35,0.00,0.35,0.17,0.17,
2009-2010,21,Swansea City,eng ENG,2. Championship,7th,21,14,1317,14.6,3,2,5,2,1,1,1,0,0.21,0.14,0.34,0.14,0.27,
2010-2011,22,Swansea City,eng ENG,2. Championship,3rd,14,10,895,9.9,1,0,1,0,1,3,2,0,0.10,0.00,0.10,0.00,0.00,
2010-2011,22,Portsmouth,eng ENG,2. Championship,16th,15,12,971,10.8,1,4,5,1,0,0,3,0,0.09,0.37,0.46,0.09,0.46,
2011-2012,23,Barnsley,eng ENG,2. Championship,21st,11,6,553,6.1,1,1,2,1,0,0,2,0,0.16,0.16,0.33,0.16,0.33,
2012-2013,24,Doncaster,eng ENG,3. League One,1st,44,44,3782,42.0,10,20,30,10,0,0,10,0,0.24,0.48,0.71,0.24,0.71,
