Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1992-1993,28,Milan,it ITA,1. Serie A,1st,22,22,1658,18.4,13,,,12,1,,4,0,0.71,,,0.65,,Matches
1993-1994,29,Milan,it ITA,1. Serie A,1st,18,18,1452,16.1,5,,,5,0,,3,1,0.31,,,0.31,,Matches
1994-1995,30,Bayern Munich,de GER,1. Bundesliga,6th,7,6,560,6.2,1,,,1,0,,2,2,0.16,,,0.16,,Matches
1995-1996,31,Bayern Munich,de GER,1. Bundesliga,2nd,20,11,986,11.0,2,,,2,0,,1,0,0.18,,,0.18,,Matches
1996-1997,32,Bordeaux,fr FRA,1. Division 1,4th,32,26,2221,24.7,16,,,14,2,,8,0,0.65,,,0.57,,Matches
1997-1998,33,Bordeaux,fr FRA,1. Division 1,5th,23,15,1445,16.1,6,,,4,2,,6,0,0.37,,,0.25,,Matches
6 Seasons,6 Seasons,3 Clubs,,3 Leagues,,122,98,8322,92.5,43,,,38,5,,24,3,0.47,,,0.41,,
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Bordeaux (2 Seasons),Bordeaux (2 Seasons),Bordeaux (2 Seasons),,1 League,,55,41,3666,40.7,22,,,18,4,,14,0,0.54,,,0.44,,
Milan (2 Seasons),Milan (2 Seasons),Milan (2 Seasons),,1 League,,40,40,3110,34.6,18,,,17,1,,7,1,0.52,,,0.49,,
Bayern Munich (2 Seasons),Bayern Munich (2 Seasons),Bayern Munich (2 Seasons),,1 League,,27,17,1546,17.2,3,,,3,0,,3,2,0.17,,,0.17,,
,,,,,,,,,,,,,,,,,,,,,,,
Division 1 (2 Seasons),Division 1 (2 Seasons),Division 1 (2 Seasons),,,,55,41,3666,40.7,22,,,18,4,,14,0,0.54,,,0.44,,
Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,40,40,3110,34.6,18,,,17,1,,7,1,0.52,,,0.49,,
Bundesliga (2 Seasons),Bundesliga (2 Seasons),Bundesliga (2 Seasons),,,,27,17,1546,17.2,3,,,3,0,,3,2,0.17,,,0.17,,
