Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1988-1989,27,Internazionale,it ITA,1. Serie A,1st,32,32,2817,31.3,9,,,5,4,,2,2,0.29,,,0.16,,Matches
1989-1990,28,Internazionale,it ITA,1. Serie A,3rd,25,25,2189,24.3,11,,,9,2,,3,0,0.45,,,0.37,,Matches
1990-1991,29,Internazionale,it ITA,1. Serie A,3rd,31,31,2773,30.8,16,,,9,7,,1,0,0.52,,,0.29,,Matches
1991-1992,30,Internazionale,it ITA,1. Serie A,8th,27,27,2373,26.4,4,,,0,4,,5,0,0.15,,,0.00,,Matches
1992-1993,31,Bayern Munich,de GER,1. Bundesliga,2nd,28,28,2414,26.8,8,,,8,0,,8,0,0.30,,,0.30,,Matches
1993-1994,32,Bayern Munich,de GER,1. Bundesliga,1st,33,33,2875,31.9,8,,,4,4,,9,0,0.25,,,0.13,,Matches
1994-1995,33,Bayern Munich,de GER,1. Bundesliga,6th,16,16,1412,15.7,5,,,2,3,,4,0,0.32,,,0.13,,Matches
1995-1996,34,Bayern Munich,de GER,1. Bundesliga,2nd,19,19,1560,17.3,1,,,1,0,,6,0,0.06,,,0.06,,Matches
1996-1997,35,Bayern Munich,de GER,1. Bundesliga,1st,28,28,2334,25.9,1,,,1,0,,9,2,0.04,,,0.04,,Matches
1997-1998,36,Bayern Munich,de GER,1. Bundesliga,2nd,25,25,2063,22.9,3,,,3,0,,3,0,0.13,,,0.13,,Matches
1998-1999,37,Bayern Munich,de GER,1. Bundesliga,1st,25,24,1963,21.8,1,,,1,0,,6,0,0.05,,,0.05,,Matches
1999-2000,38,Bayern Munich,de GER,1. Bundesliga,1st,15,15,1160,12.9,1,2,3,1,0,0,5,0,0.08,0.16,0.23,0.08,0.23,Matches
2000,38,MetroStars,us USA,1. MLS,3rd,16,16,1345,14.9,0,3,3,0,0,0,6,0,0.00,0.20,0.20,0.00,0.20,Matches
13 Seasons,13 Seasons,3 Clubs,,3 Leagues,,320,319,27278,303.1,68,5,6,44,24,0,67,4,0.22,0.18,0.22,0.15,0.22,
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Bayern Munich (8 Seasons),Bayern Munich (8 Seasons),Bayern Munich (8 Seasons),,1 League,,189,188,15781,175.3,28,2,3,21,7,0,50,2,0.16,0.16,0.23,0.12,0.23,
Internazionale (4 Seasons),Internazionale (4 Seasons),Internazionale (4 Seasons),,1 League,,115,115,10152,112.8,40,,,23,17,,11,2,0.35,,,0.20,,
MetroStars (1 Season),MetroStars (1 Season),MetroStars (1 Season),,1 League,,16,16,1345,14.9,0,3,3,0,0,0,6,0,0.00,0.20,0.20,0.00,0.20,
,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga (8 Seasons),Bundesliga (8 Seasons),Bundesliga (8 Seasons),,,,189,188,15781,175.3,28,2,3,21,7,0,50,2,0.16,0.16,0.23,0.12,0.23,
Serie A (4 Seasons),Serie A (4 Seasons),Serie A (4 Seasons),,,,115,115,10152,112.8,40,,,23,17,,11,2,0.35,,,0.20,,
MLS (1 Season),MLS (1 Season),MLS (1 Season),,,,16,16,1345,14.9,0,3,3,0,0,0,6,0,0.00,0.20,0.20,0.00,0.20,
