Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1995-1996,22,Barcelona,es ESP,1. La Liga,3rd,35,33,2839,31.5,5,,,5,0,,9,2,0.16,,,0.16,,Matches
1996-1997,23,Barcelona,es ESP,1. La Liga,2nd,36,34,2787,31.0,4,,,4,0,,7,2,0.13,,,0.13,,Matches
1997-1998,24,Barcelona,es ESP,1. La Liga,1st,35,35,2964,32.9,5,,,5,0,,12,0,0.15,,,0.15,,Matches
1998-1999,25,Barcelona,es ESP,1. La Liga,1st,34,34,2992,33.2,7,,,7,0,,14,3,0.21,,,0.21,,Matches
1999-2000,26,Barcelona,es ESP,1. La Liga,2nd,32,32,2701,30.0,9,10,19,8,1,2,10,1,0.30,0.33,0.63,0.27,0.60,Matches
2000-2001,27,Real Madrid,es ESP,1. La Liga,1st,34,33,2945,32.7,9,17,26,8,1,2,12,0,0.28,0.52,0.79,0.24,0.76,Matches
2001-2002,28,Real Madrid,es ESP,1. La Liga,3rd,28,27,2331,25.9,7,5,12,3,4,4,5,1,0.27,0.19,0.46,0.12,0.31,Matches
2002-2003,29,Real Madrid,es ESP,1. La Liga,1st,33,33,2724,30.3,10,14,24,4,6,7,4,1,0.33,0.46,0.79,0.13,0.59,Matches
2003-2004,30,Real Madrid,es ESP,1. La Liga,4th,36,34,3009,33.4,7,11,18,2,5,6,10,1,0.21,0.33,0.54,0.06,0.39,Matches
2004-2005,31,Real Madrid,es ESP,1. La Liga,2nd,33,26,2291,25.5,3,4,7,1,2,2,9,0,0.12,0.16,0.27,0.04,0.20,Matches
2005-2006,32,Inter,it ITA,1. Serie A,1st,34,28,2458,27.3,5,10,15,5,0,0,3,0,0.18,0.37,0.55,0.18,0.55,Matches
2006-2007,33,Inter,it ITA,1. Serie A,1st,32,19,2020,22.4,2,8,10,0,2,2,4,0,0.09,0.36,0.45,0.00,0.36,Matches
2007-2008,34,Inter,it ITA,1. Serie A,1st,17,10,864,9.6,1,4,5,1,0,0,3,0,0.10,0.42,0.52,0.10,0.52,Matches
2008-2009,35,Inter,it ITA,1. Serie A,1st,22,11,1053,11.7,1,3,4,1,0,0,2,0,0.09,0.26,0.34,0.09,0.34,Matches
14 Seasons,14 Seasons,3 Clubs,,2 Leagues,,441,389,33978,377.5,75,86,140,54,21,25,104,11,0.20,0.35,0.56,0.14,0.48,
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Barcelona (5 Seasons),Barcelona (5 Seasons),Barcelona (5 Seasons),,1 League,,172,168,14283,158.7,30,10,19,29,1,2,52,8,0.19,0.33,0.63,0.18,0.60,
Real Madrid (5 Seasons),Real Madrid (5 Seasons),Real Madrid (5 Seasons),,1 League,,164,153,13300,147.8,36,51,87,18,18,21,40,3,0.24,0.35,0.59,0.12,0.47,
Inter (4 Seasons),Inter (4 Seasons),Inter (4 Seasons),,1 League,,105,68,6395,71.1,9,25,34,7,2,2,12,0,0.13,0.35,0.48,0.10,0.45,
,,,,,,,,,,,,,,,,,,,,,,,
La Liga (10 Seasons),La Liga (10 Seasons),La Liga (10 Seasons),,,,336,321,27583,306.5,66,61,106,47,19,23,92,11,0.22,0.34,0.60,0.15,0.49,
Serie A (4 Seasons),Serie A (4 Seasons),Serie A (4 Seasons),,,,105,68,6395,71.1,9,25,34,7,2,2,12,0,0.13,0.35,0.48,0.10,0.45,
