Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1996-1997,24,Deportivo La Coruña,es ESP,1. La Liga,3rd,41,41,3524,39.2,21,,,18,3,,8,0,0.54,,,0.46,,Matches
1997-1998,25,Barcelona,es ESP,1. La Liga,1st,34,34,2869,31.9,19,,,17,2,,8,0,0.60,,,0.53,,Matches
1998-1999,26,Barcelona,es ESP,1. La Liga,1st,37,37,3270,36.3,24,,,18,6,,7,0,0.66,,,0.50,,Matches
1999-2000,27,Barcelona,es ESP,1. La Liga,2nd,31,30,2491,27.7,12,5,17,12,0,0,1,0,0.43,0.18,0.61,0.43,0.61,Matches
2000-2001,28,Barcelona,es ESP,1. La Liga,4th,35,34,2991,33.2,23,8,31,18,5,6,3,0,0.69,0.24,0.93,0.54,0.78,Matches
2001-2002,29,Barcelona,es ESP,1. La Liga,4th,20,19,1634,18.2,8,3,11,8,0,1,1,0,0.44,0.17,0.61,0.44,0.61,Matches
2002-2003,30,Milan,it ITA,1. Serie A,3rd,22,16,1508,16.8,5,6,11,5,0,2,1,0,0.30,0.36,0.66,0.30,0.66,Matches
,,,,,,,,,,,,,,,,,,,,,,,
2004-2005,32,Olympiacos,gr GRE,1. Alpha Ethniki,1st,23,22,1840,20.4,12,4,16,11,1,1,1,0,0.59,0.20,0.78,0.54,0.73,Matches
2005-2006,33,Olympiacos,gr GRE,1. Alpha Ethniki,1st,22,21,1732,19.2,7,4,11,7,0,0,2,0,0.36,0.21,0.57,0.36,0.57,Matches
2006-2007,34,Olympiacos,gr GRE,1. Super League,1st,25,23,2063,22.9,17,8,25,16,1,1,2,1,0.74,0.35,1.09,0.70,1.05,Matches
2007-2008,35,AEK Athens,gr GRE,1. Super League,2nd,29,28,2371,26.3,8,12,20,4,4,4,3,0,0.30,0.46,0.76,0.15,0.61,Matches
11 Seasons,11 Seasons,5 Clubs,,3 Leagues,,319,305,26293,292.1,156,50,142,134,22,15,37,1,0.53,0.27,0.77,0.46,0.71,
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Barcelona (5 Seasons),Barcelona (5 Seasons),Barcelona (5 Seasons),,1 League,,157,154,13255,147.3,86,16,59,73,13,7,20,0,0.58,0.20,0.75,0.50,0.68,
Olympiacos (3 Seasons),Olympiacos (3 Seasons),Olympiacos (3 Seasons),,1 League,,70,66,5635,62.6,36,16,52,34,2,2,5,1,0.57,0.26,0.83,0.54,0.80,
Deportivo La Coruña (1 Season),Deportivo La Coruña (1 Season),Deportivo La Coruña (1 Season),,1 League,,41,41,3524,39.2,21,,,18,3,,8,0,0.54,,,0.46,,
AEK Athens (1 Season),AEK Athens (1 Season),AEK Athens (1 Season),,1 League,,29,28,2371,26.3,8,12,20,4,4,4,3,0,0.30,0.46,0.76,0.15,0.61,
Milan (1 Season),Milan (1 Season),Milan (1 Season),,1 League,,22,16,1508,16.8,5,6,11,5,0,2,1,0,0.30,0.36,0.66,0.30,0.66,
,,,,,,,,,,,,,,,,,,,,,,,
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,198,195,16779,186.4,107,16,59,91,16,7,28,0,0.57,0.20,0.75,0.49,0.68,
Alpha Ethniki (4 Seasons),Alpha Ethniki (4 Seasons),Alpha Ethniki (4 Seasons),,,,99,94,8006,89.0,44,28,72,38,6,6,8,1,0.49,0.31,0.81,0.43,0.74,
Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,22,16,1508,16.8,5,6,11,5,0,2,1,0,0.30,0.36,0.66,0.30,0.66,
