Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1996-1997,19,Barcelona,es ESP,1. La Liga,2nd,37,37,3196,35.5,34,,,30,4,,4,0,0.96,,,0.84,,Matches
1997-1998,20,Internazionale,it ITA,1. Serie A,2nd,32,32,2872,31.9,25,,,19,6,,1,0,0.78,,,0.60,,Matches
1998-1999,21,Inter,it ITA,1. Serie A,8th,19,17,1484,16.5,14,3,17,7,7,8,1,0,0.85,0.18,1.03,0.42,0.61,Matches
1999-2000,22,Inter,it ITA,1. Serie A,4th,7,5,381,4.2,3,1,4,1,2,2,2,1,0.71,0.24,0.94,0.24,0.47,Matches
,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,24,Inter,it ITA,1. Serie A,3rd,10,9,665,7.4,7,1,8,7,0,0,0,0,0.95,0.14,1.08,0.95,1.08,Matches
2002-2003,25,Real Madrid,es ESP,1. La Liga,1st,31,29,2422,26.9,23,4,27,23,0,1,1,0,0.85,0.15,1.00,0.85,1.00,Matches
2003-2004,26,Real Madrid,es ESP,1. La Liga,4th,32,31,2588,28.8,24,4,28,23,1,1,6,0,0.83,0.14,0.97,0.80,0.94,Matches
2004-2005,27,Real Madrid,es ESP,1. La Liga,2nd,34,32,2796,31.1,21,8,29,20,1,2,1,0,0.68,0.26,0.93,0.64,0.90,Matches
2005-2006,28,Real Madrid,es ESP,1. La Liga,2nd,23,21,1796,20.0,14,2,16,12,2,2,1,0,0.70,0.10,0.80,0.60,0.70,Matches
2006-2007,29,Real Madrid,es ESP,1. La Liga,1st,7,3,322,3.6,1,0,1,1,0,0,1,1,0.28,0.00,0.28,0.28,0.28,Matches
2006-2007,29,Milan,it ITA,1. Serie A,4th,14,12,1059,11.8,7,3,10,7,0,0,1,0,0.59,0.25,0.85,0.59,0.85,Matches
2007-2008,30,Milan,it ITA,1. Serie A,5th,6,4,322,3.6,2,0,2,2,0,0,0,0,0.56,0.00,0.56,0.56,0.56,Matches
11 Seasons,11 Seasons,4 Clubs,,2 Leagues,,252,232,19903,221.1,175,26,142,152,23,16,19,2,0.79,0.17,0.92,0.69,0.84,
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Real Madrid (5 Seasons),Real Madrid (5 Seasons),Real Madrid (5 Seasons),,1 League,,127,116,9924,110.3,83,18,101,79,4,6,10,1,0.75,0.16,0.92,0.72,0.88,
Internazionale (4 Seasons),Internazionale (4 Seasons),Internazionale (4 Seasons),,1 League,,68,63,5402,60.0,49,5,29,34,15,10,4,1,0.82,0.18,1.03,0.57,0.71,
Milan (2 Seasons),Milan (2 Seasons),Milan (2 Seasons),,1 League,,20,16,1381,15.3,9,3,12,9,0,0,1,0,0.59,0.20,0.78,0.59,0.78,
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,37,37,3196,35.5,34,,,30,4,,4,0,0.96,,,0.84,,
,,,,,,,,,,,,,,,,,,,,,,,
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,164,153,13120,145.8,117,18,101,109,8,6,14,1,0.80,0.16,0.92,0.75,0.88,
Serie A (6 Seasons),Serie A (6 Seasons),Serie A (6 Seasons),,,,88,79,6783,75.4,58,8,41,43,15,10,5,1,0.77,0.18,0.94,0.57,0.74,
