Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1995-1996,23,Bordeaux,fr FRA,1. Division 1,16th,33,31,2703,30.0,6,,,6,0,,5,1,0.20,,,0.20,,Matches
1996-1997,24,Juventus,it ITA,1. Serie A,1st,29,28,2306,25.6,5,,,4,1,,6,2,0.20,,,0.16,,Matches
1997-1998,25,Juventus,it ITA,1. Serie A,1st,32,31,2581,28.7,7,,,7,0,,3,0,0.24,,,0.24,,Matches
1998-1999,26,Juventus,it ITA,1. Serie A,7th,25,24,1997,22.2,2,2,4,2,0,0,4,1,0.09,0.09,0.18,0.09,0.18,Matches
1999-2000,27,Juventus,it ITA,1. Serie A,2nd,32,32,2706,30.1,4,3,7,4,0,0,6,1,0.13,0.10,0.23,0.13,0.23,Matches
2000-2001,28,Juventus,it ITA,1. Serie A,2nd,33,33,2765,30.7,6,14,20,5,1,2,2,0,0.20,0.46,0.65,0.16,0.62,Matches
2001-2002,29,Real Madrid,es ESP,1. La Liga,3rd,31,31,2647,29.4,7,7,14,7,0,0,3,0,0.24,0.24,0.48,0.24,0.48,Matches
2002-2003,30,Real Madrid,es ESP,1. La Liga,1st,33,32,2703,30.0,9,9,18,9,0,0,4,0,0.30,0.30,0.60,0.30,0.60,Matches
2003-2004,31,Real Madrid,es ESP,1. La Liga,4th,33,33,2698,30.0,6,8,14,6,0,0,7,1,0.20,0.27,0.47,0.20,0.47,Matches
2004-2005,32,Real Madrid,es ESP,1. La Liga,2nd,29,28,2346,26.1,6,5,11,5,1,1,5,1,0.23,0.19,0.42,0.19,0.38,Matches
2005-2006,33,Real Madrid,es ESP,1. La Liga,2nd,29,24,2182,24.2,9,9,18,7,2,3,5,0,0.37,0.37,0.74,0.29,0.66,Matches
11 Seasons,11 Seasons,3 Clubs,,3 Leagues,,339,327,27634,307.0,67,57,106,62,5,6,50,7,0.22,0.26,0.48,0.20,0.46,
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Real Madrid (5 Seasons),Real Madrid (5 Seasons),Real Madrid (5 Seasons),,1 League,,155,148,12576,139.7,37,38,75,34,3,4,24,2,0.26,0.27,0.54,0.24,0.52,
Juventus (5 Seasons),Juventus (5 Seasons),Juventus (5 Seasons),,1 League,,151,148,12355,137.3,24,19,31,22,2,2,21,4,0.17,0.23,0.37,0.16,0.36,
Bordeaux (1 Season),Bordeaux (1 Season),Bordeaux (1 Season),,1 League,,33,31,2703,30.0,6,,,6,0,,5,1,0.20,,,0.20,,
,,,,,,,,,,,,,,,,,,,,,,,
La Liga (5 Seasons),La Liga (5 Seasons),La Liga (5 Seasons),,,,155,148,12576,139.7,37,38,75,34,3,4,24,2,0.26,0.27,0.54,0.24,0.52,
Serie A (5 Seasons),Serie A (5 Seasons),Serie A (5 Seasons),,,,151,148,12355,137.3,24,19,31,22,2,2,21,4,0.17,0.23,0.37,0.16,0.36,
Division 1 (1 Season),Division 1 (1 Season),Division 1 (1 Season),,,,33,31,2703,30.0,6,,,6,0,,5,1,0.20,,,0.20,,
