Starts,Min,90s,MP
11,1080,12.0,25
15,1548,17.2,29
25,2423,26.9,33
24,2286,25.4,33
31,2794,31.0,34
31,2747,30.5,34
31,2743,30.5,33
28,2461,27.3,29
32,2914,32.4,34
37,3350,37.2,38
30,2716,30.2,34
30,2534,28.2,30
35,3100,34.4,35
36,3183,35.4,36
29,2539,28.2,29
27,2285,25.4,27
30,2688,29.9,31
33,2917,32.4,33
31,2802,31.1,33
0,31,0.3,1
27,2456,27.3,30
4,525,5.8,10
10,900,10.0,10
587,53022,589.1,661
284,25082,278.7,292
188,17522,194.7,236
94,8438,93.8,98
11,1080,12.0,25
10,900,10.0,10
284,25082,278.7,292
188,17522,194.7,236
94,8438,93.8,98
11,1080,12.0,25
10,900,10.0,10
