Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1990-1991,24,Barcelona,es ESP,1. La Liga,1st,24,23,1844,20.5,14,,,12,2,,6,0,0.68,,,0.59,,Matches
1991-1992,25,Barcelona,es ESP,1. La Liga,1st,32,30,2300,25.6,17,,,17,0,,8,3,0.67,,,0.67,,Matches
1992-1993,26,Barcelona,es ESP,1. La Liga,1st,34,34,2779,30.9,20,,,19,1,,11,6,0.65,,,0.62,,Matches
1993-1994,27,Barcelona,es ESP,1. La Liga,1st,34,30,2393,26.6,16,,,15,1,,7,4,0.60,,,0.56,,Matches
1994-1995,28,Barcelona,es ESP,1. La Liga,4th,27,27,2271,25.2,9,,,9,0,,6,1,0.36,,,0.36,,Matches
1995-1996,29,Parma,it ITA,1. Serie A,6th,23,18,1569,17.4,5,,,5,0,,5,0,0.29,,,0.29,,Matches
1996-1997,30,Barcelona,es ESP,1. La Liga,2nd,22,13,1120,12.4,7,,,6,1,,6,0,0.56,,,0.48,,Matches
1997-1998,31,Barcelona,es ESP,1. La Liga,1st,2,1,58,0.6,0,,,0,0,,0,0,0.00,,,0.00,,Matches
,,,,,,,,,,,,,,,,,,,,,,,
2000,33,Chicago Fire,us USA,1. MLS,2nd,18,12,987,11.0,9,4,13,6,3,4,3,1,0.82,0.36,1.19,0.55,0.91,Matches
2001,34,Chicago Fire,us USA,1. MLS,2nd,17,10,916,10.2,6,2,8,4,2,3,4,0,0.59,0.20,0.79,0.39,0.59,Matches
2002,35,Chicago Fire,us USA,1. MLS,7th,16,6,693,7.7,2,2,4,2,0,1,4,0,0.26,0.26,0.52,0.26,0.52,Matches
2003,36,D.C. United,us USA,1. MLS,7th,21,9,901,10.0,5,2,7,3,2,2,6,0,0.50,0.20,0.70,0.30,0.50,Matches
12 Seasons,12 Seasons,4 Clubs,,3 Leagues,,270,213,17831,198.1,110,10,32,98,12,10,66,15,0.56,0.26,0.82,0.49,0.64,
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Barcelona (7 Seasons),Barcelona (7 Seasons),Barcelona (7 Seasons),,1 League,,175,158,12765,141.8,83,,,78,5,,44,14,0.59,,,0.55,,
Chicago Fire (3 Seasons),Chicago Fire (3 Seasons),Chicago Fire (3 Seasons),,1 League,,51,28,2596,28.8,17,8,25,12,5,8,11,1,0.59,0.28,0.87,0.42,0.69,
Parma (1 Season),Parma (1 Season),Parma (1 Season),,1 League,,23,18,1569,17.4,5,,,5,0,,5,0,0.29,,,0.29,,
D.C. United (1 Season),D.C. United (1 Season),D.C. United (1 Season),,1 League,,21,9,901,10.0,5,2,7,3,2,2,6,0,0.50,0.20,0.70,0.30,0.50,
,,,,,,,,,,,,,,,,,,,,,,,
La Liga (7 Seasons),La Liga (7 Seasons),La Liga (7 Seasons),,,,175,158,12765,141.8,83,,,78,5,,44,14,0.59,,,0.55,,
MLS (4 Seasons),MLS (4 Seasons),MLS (4 Seasons),,,,72,37,3497,38.9,22,10,32,15,7,10,17,1,0.57,0.26,0.82,0.39,0.64,
Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,23,18,1569,17.4,5,,,5,0,,5,0,0.29,,,0.29,,
