Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
2003-2004,21,Milan,it ITA,1. Serie A,1st,30,25,2244,24.9,10,5,15,10,0,0,5,0,0.40,0.20,0.60,0.40,0.60,Matches
2004-2005,22,Milan,it ITA,1. Serie A,2nd,36,33,2931,32.6,7,13,20,7,0,0,5,0,0.21,0.40,0.61,0.21,0.61,Matches
2005-2006,23,Milan,it ITA,1. Serie A,3rd,35,28,2563,28.5,14,8,22,11,3,3,1,0,0.49,0.28,0.77,0.39,0.67,Matches
2006-2007,24,Milan,it ITA,1. Serie A,4th,31,30,2657,29.5,8,6,14,5,3,5,1,0,0.27,0.20,0.47,0.17,0.37,Matches
2007-2008,25,Milan,it ITA,1. Serie A,5th,30,30,2556,28.4,15,10,25,9,6,7,3,0,0.53,0.35,0.88,0.32,0.67,Matches
2008-2009,26,Milan,it ITA,1. Serie A,3rd,31,28,2558,28.4,16,9,25,9,7,8,4,0,0.56,0.32,0.88,0.32,0.63,Matches
2009-2010,27,Real Madrid,es ESP,1. La Liga,2nd,25,21,1815,20.2,8,5,13,6,2,2,3,0,0.40,0.25,0.64,0.30,0.55,Matches
2010-2011,28,Real Madrid,es ESP,1. La Liga,2nd,14,11,802,8.9,7,4,11,5,2,2,0,0,0.79,0.45,1.23,0.56,1.01,Matches
2011-2012,29,Real Madrid,es ESP,1. La Liga,1st,27,17,1378,15.3,5,5,10,5,0,0,3,0,0.33,0.33,0.65,0.33,0.65,Matches
2012-2013,30,Real Madrid,es ESP,1. La Liga,2nd,19,12,954,10.6,3,2,5,2,1,1,2,1,0.28,0.19,0.47,0.19,0.38,Matches
2013-2014,31,Milan,it ITA,1. Serie A,8th,30,27,2398,26.6,7,4,11,7,0,0,2,0,0.26,0.15,0.41,0.26,0.41,Matches
2014,31,São Paulo,br BRA,1. Série A,2nd,19,18,1567,17.4,2,1,3,2,0,0,7,0,0.11,0.06,0.17,0.11,0.17,Matches
2015,32,Orlando City,us USA,1. MLS,14th,28,28,2436,27.1,9,6,15,5,4,5,5,1,0.33,0.22,0.55,0.18,0.41,Matches
2016,33,Orlando City,us USA,1. MLS,15th,24,23,1951,21.7,9,11,20,5,4,5,2,0,0.42,0.51,0.92,0.23,0.74,Matches
2017,34,Orlando City,us USA,1. MLS,18th,23,18,1564,17.4,6,4,10,6,0,0,6,1,0.35,0.23,0.58,0.35,0.58,Matches
15 Seasons,15 Seasons,4 Clubs,,4 Leagues,,402,349,30374,337.5,126,93,219,94,32,38,49,3,0.37,0.28,0.65,0.28,0.55,
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Milan (7 Seasons),Milan (7 Seasons),Milan (7 Seasons),,1 League,,223,201,17907,199.0,77,55,132,58,19,23,21,0,0.39,0.28,0.66,0.29,0.57,
Real Madrid (4 Seasons),Real Madrid (4 Seasons),Real Madrid (4 Seasons),,1 League,,85,61,4949,55.0,23,16,39,18,5,5,8,1,0.42,0.29,0.71,0.33,0.62,
Orlando City (3 Seasons),Orlando City (3 Seasons),Orlando City (3 Seasons),,1 League,,75,69,5951,66.1,24,21,45,16,8,10,13,2,0.36,0.32,0.68,0.24,0.56,
São Paulo (1 Season),São Paulo (1 Season),São Paulo (1 Season),,1 League,,19,18,1567,17.4,2,1,3,2,0,0,7,0,0.11,0.06,0.17,0.11,0.17,
,,,,,,,,,,,,,,,,,,,,,,,
Serie A (7 Seasons),Serie A (7 Seasons),Serie A (7 Seasons),,,,223,201,17907,199.0,77,55,132,58,19,23,21,0,0.39,0.28,0.66,0.29,0.57,
La Liga (4 Seasons),La Liga (4 Seasons),La Liga (4 Seasons),,,,85,61,4949,55.0,23,16,39,18,5,5,8,1,0.42,0.29,0.71,0.33,0.62,
MLS (3 Seasons),MLS (3 Seasons),MLS (3 Seasons),,,,75,69,5951,66.1,24,21,45,16,8,10,13,2,0.36,0.32,0.68,0.24,0.56,
Série A (1 Season),Série A (1 Season),Série A (1 Season),,,,19,18,1567,17.4,2,1,3,2,0,0,7,0,0.11,0.06,0.17,0.11,0.17,
