Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
2007-2008,21,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,25,25,1973,21.9,13,11,24,9,4,4,1,0,,,,,,,,0.59,0.50,1.09,0.41,0.91,,,,,,Matches
2008-2009,22,Tottenham,eng ENG,1. Premier League,8th,34,34,2776,30.8,3,6,9,3,0,0,5,0,,,,,,,,0.10,0.19,0.29,0.10,0.29,,,,,,Matches
2009-2010,23,Tottenham,eng ENG,1. Premier League,4th,25,21,1910,21.2,3,3,6,3,0,0,2,0,,,,,,,,0.14,0.14,0.28,0.14,0.28,,,,,,Matches
2010-2011,24,Tottenham,eng ENG,1. Premier League,5th,32,32,2793,31.0,3,2,5,2,1,1,3,0,,,,,,,,0.10,0.06,0.16,0.06,0.13,,,,,,Matches
2011-2012,25,Tottenham,eng ENG,1. Premier League,4th,36,36,3214,35.7,4,4,8,4,0,0,2,0,,,,,,,,0.11,0.11,0.22,0.11,0.22,,,,,,Matches
2012-2013,26,Real Madrid,es ESP,1. La Liga,2nd,33,25,2179,24.2,3,3,6,3,0,0,8,0,,,,,,,,0.12,0.12,0.25,0.12,0.25,,,,,,Matches
2013-2014,27,Real Madrid,es ESP,1. La Liga,3rd,34,29,2639,29.3,1,6,7,1,0,0,6,0,,,,,,,,0.03,0.20,0.24,0.03,0.24,,,,,,Matches
2014-2015,28,Real Madrid,es ESP,1. La Liga,2nd,16,16,1290,14.3,1,3,4,1,0,0,4,0,,,,,,,,0.07,0.21,0.28,0.07,0.28,,,,,,Matches
2015-2016,29,Real Madrid,es ESP,1. La Liga,2nd,32,31,2619,29.1,2,4,6,2,0,0,5,0,,,,,,,,0.07,0.14,0.21,0.07,0.21,,,,,,Matches
2016-2017,30,Real Madrid,es ESP,1. La Liga,1st,25,22,1887,21.0,1,2,3,1,0,0,2,0,,,,,,,,0.05,0.10,0.14,0.05,0.14,,,,,,Matches
2017-2018,31,Real Madrid,es ESP,1. La Liga,3rd,26,23,1970,21.9,1,6,7,1,0,0,3,0,1.8,1.8,4.2,6.0,82,254,78,0.05,0.27,0.32,0.05,0.32,0.08,0.19,0.27,0.08,0.27,Matches
2018-2019,32,Real Madrid,es ESP,1. La Liga,3rd,34,31,2608,29.0,3,6,9,3,0,0,6,0,2.7,2.7,3.8,6.4,68,295,108,0.10,0.21,0.31,0.10,0.31,0.09,0.13,0.22,0.09,0.22,Matches
2019-2020,33,Real Madrid,es ESP,1. La Liga,1st,31,22,1996,22.2,3,7,10,3,0,0,7,1,1.5,1.5,3.3,4.9,64,183,83,0.14,0.32,0.45,0.14,0.45,0.07,0.15,0.22,0.07,0.22,Matches
2020-2021,34,Real Madrid,es ESP,1. La Liga,2nd,35,32,2733,30.4,5,3,8,5,0,0,4,0,2.3,2.3,4.6,6.9,67,283,108,0.16,0.10,0.26,0.16,0.26,0.08,0.15,0.23,0.08,0.23,Matches
2021-2022,35,Real Madrid,es ESP,1. La Liga,1st,28,25,2032,22.6,2,8,10,1,1,1,4,0,2.5,1.7,5.2,6.8,67,221,87,0.09,0.35,0.44,0.04,0.40,0.11,0.23,0.34,0.07,0.30,Matches
2022-2023,36,Real Madrid,es ESP,1. La Liga,2nd,25,16,1428,15.9,4,3,7,3,1,1,6,0,4.1,3.3,3.9,7.2,38,140,57,0.25,0.19,0.44,0.19,0.38,0.26,0.24,0.50,0.21,0.45,Matches
16 Seasons,16 Seasons,3 Clubs,,3 Leagues,,471,420,36047,400.5,52,77,129,45,7,7,68,1,14.9,13.3,24.9,38.2,386,1376,521,0.13,0.19,0.32,0.11,0.30,0.10,0.18,0.28,0.09,0.27,
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Real Madrid (11 Seasons),Real Madrid (11 Seasons),Real Madrid (11 Seasons),,1 League,,319,272,23381,259.8,26,51,77,24,2,2,55,1,14.9,13.3,24.9,38.2,386,1376,521,0.10,0.20,0.30,0.09,0.29,0.10,0.18,0.28,0.09,0.27,
Tottenham (4 Seasons),Tottenham (4 Seasons),Tottenham (4 Seasons),,1 League,,127,123,10693,118.8,13,15,28,12,1,1,12,0,,,,,,,,0.11,0.13,0.24,0.10,0.23,,,,,,
Dinamo Zagreb (1 Season),Dinamo Zagreb (1 Season),Dinamo Zagreb (1 Season),,1 League,,25,25,1973,21.9,13,11,24,9,4,4,1,0,,,,,,,,0.59,0.50,1.09,0.41,0.91,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Liga (11 Seasons),La Liga (11 Seasons),La Liga (11 Seasons),,,,319,272,23381,259.8,26,51,77,24,2,2,55,1,14.9,13.3,24.9,38.2,386,1376,521,0.10,0.20,0.30,0.09,0.29,0.10,0.18,0.28,0.09,0.27,
