Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1990-1991,22,Stuttgart,de GER,1. Bundesliga,6th,30,30,2683,29.8,11,,,11,0,,9,0,0.37,,,0.37,,Matches
1991-1992,23,Stuttgart,de GER,1. Bundesliga,1st,33,33,2924,32.5,9,,,9,0,,10,3,0.28,,,0.28,,Matches
1992-1993,24,Internazionale,it ITA,1. Serie A,2nd,11,11,869,9.7,4,,,4,0,,0,0,0.41,,,0.41,,Matches
1992-1993,24,Dortmund,de GER,1. Bundesliga,4th,17,17,1516,16.8,10,,,10,0,,5,0,0.59,,,0.59,,Matches
1993-1994,25,Dortmund,de GER,1. Bundesliga,4th,29,28,2499,27.8,4,,,4,0,,9,2,0.14,,,0.14,,Matches
1994-1995,26,Dortmund,de GER,1. Bundesliga,1st,28,28,2439,27.1,4,,,4,0,,5,0,0.15,,,0.15,,Matches
1995-1996,27,Dortmund,de GER,1. Bundesliga,1st,22,22,1965,21.8,3,,,3,0,,10,0,0.14,,,0.14,,Matches
1996-1997,28,Dortmund,de GER,1. Bundesliga,3rd,16,15,1316,14.6,0,,,0,0,,2,2,0.00,,,0.00,,Matches
1997-1998,29,Dortmund,de GER,1. Bundesliga,10th,3,3,226,2.5,0,,,0,0,,0,0,0.00,,,0.00,,Matches
8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,189,187,16437,182.6,45,,,45,0,,50,7,0.25,,,0.25,,
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Dortmund (6 Seasons),Dortmund (6 Seasons),Dortmund (6 Seasons),,1 League,,115,113,9961,110.7,21,,,21,0,,31,4,0.19,,,0.19,,
Stuttgart (2 Seasons),Stuttgart (2 Seasons),Stuttgart (2 Seasons),,1 League,,63,63,5607,62.3,20,,,20,0,,19,3,0.32,,,0.32,,
Internazionale (1 Season),Internazionale (1 Season),Internazionale (1 Season),,1 League,,11,11,869,9.7,4,,,4,0,,0,0,0.41,,,0.41,,
,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga (8 Seasons),Bundesliga (8 Seasons),Bundesliga (8 Seasons),,,,178,176,15568,173.0,41,,,41,0,,50,7,0.24,,,0.24,,
Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,11,11,869,9.7,4,,,4,0,,0,0,0.41,,,0.41,,
