Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1996-1997,16,Liverpool,eng ENG,1. Premier League,4th,2,1,124,1.4,1,,,1,0,,0,0,0.73,,,0.73,,Matches
1997-1998,17,Liverpool,eng ENG,1. Premier League,3rd,36,34,3003,33.4,18,10,28,16,2,3,5,1,0.54,0.30,0.84,0.48,0.78,Matches
1998-1999,18,Liverpool,eng ENG,1. Premier League,7th,30,30,2518,28.0,18,5,23,17,1,1,0,0,0.64,0.18,0.82,0.61,0.79,Matches
1999-2000,19,Liverpool,eng ENG,1. Premier League,4th,27,22,1830,20.3,11,3,14,10,1,3,2,0,0.54,0.15,0.69,0.49,0.64,Matches
2000-2001,20,Liverpool,eng ENG,1. Premier League,3rd,28,20,1789,19.9,16,3,19,16,0,0,0,0,0.80,0.15,0.96,0.80,0.96,Matches
2001-2002,21,Liverpool,eng ENG,1. Premier League,2nd,29,25,2221,24.7,19,1,20,18,1,1,1,0,0.77,0.04,0.81,0.73,0.77,Matches
2002-2003,22,Liverpool,eng ENG,1. Premier League,5th,35,32,2836,31.5,19,5,24,17,2,4,0,0,0.60,0.16,0.76,0.54,0.70,Matches
2003-2004,23,Liverpool,eng ENG,1. Premier League,4th,29,29,2488,27.6,16,3,19,12,4,5,0,0,0.58,0.11,0.69,0.43,0.54,Matches
2004-2005,24,Real Madrid,es ESP,1. La Liga,2nd,36,20,1840,20.4,13,3,16,13,0,0,1,0,0.64,0.15,0.78,0.64,0.78,Matches
2005-2006,25,Newcastle Utd,eng ENG,1. Premier League,7th,11,10,884,9.8,7,1,8,7,0,0,0,0,0.71,0.10,0.81,0.71,0.81,Matches
2006-2007,26,Newcastle Utd,eng ENG,1. Premier League,13th,3,3,247,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2007-2008,27,Newcastle Utd,eng ENG,1. Premier League,12th,29,24,2175,24.2,11,0,11,9,2,2,2,0,0.46,0.00,0.46,0.37,0.37,Matches
2008-2009,28,Newcastle Utd,eng ENG,1. Premier League,18th,28,21,1898,21.1,8,0,8,7,1,1,0,0,0.38,0.00,0.38,0.33,0.33,Matches
2009-2010,29,Manchester Utd,eng ENG,1. Premier League,2nd,19,5,602,6.7,3,0,3,3,0,0,0,0,0.45,0.00,0.45,0.45,0.45,Matches
2010-2011,30,Manchester Utd,eng ENG,1. Premier League,1st,11,1,238,2.6,2,0,2,2,0,0,1,0,0.76,0.00,0.76,0.76,0.76,Matches
2011-2012,31,Manchester Utd,eng ENG,1. Premier League,2nd,1,0,80,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2012-2013,32,Stoke City,eng ENG,1. Premier League,13th,8,0,101,1.1,1,0,1,1,0,0,0,0,0.89,0.00,0.89,0.89,0.89,Matches
17 Seasons,17 Seasons,5 Clubs,,2 Leagues,,362,277,24874,276.4,163,34,196,149,14,20,12,1,0.59,0.12,0.71,0.54,0.66,
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Liverpool (8 Seasons),Liverpool (8 Seasons),Liverpool (8 Seasons),,1 League,,216,193,16809,186.8,118,30,147,107,11,17,8,1,0.63,0.16,0.79,0.57,0.73,
Newcastle Utd (4 Seasons),Newcastle Utd (4 Seasons),Newcastle Utd (4 Seasons),,1 League,,71,58,5204,57.8,26,1,27,23,3,3,2,0,0.45,0.02,0.47,0.40,0.42,
Manchester Utd (3 Seasons),Manchester Utd (3 Seasons),Manchester Utd (3 Seasons),,1 League,,31,6,920,10.2,5,0,5,5,0,0,1,0,0.49,0.00,0.49,0.49,0.49,
Real Madrid (1 Season),Real Madrid (1 Season),Real Madrid (1 Season),,1 League,,36,20,1840,20.4,13,3,16,13,0,0,1,0,0.64,0.15,0.78,0.64,0.78,
Stoke City (1 Season),Stoke City (1 Season),Stoke City (1 Season),,1 League,,8,0,101,1.1,1,0,1,1,0,0,0,0,0.89,0.00,0.89,0.89,0.89,
,,,,,,,,,,,,,,,,,,,,,,,
Premier League (16 Seasons),Premier League (16 Seasons),Premier League (16 Seasons),,,,326,257,23034,255.9,150,31,180,136,14,20,11,1,0.59,0.12,0.71,0.53,0.65,
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,36,20,1840,20.4,13,3,16,13,0,0,1,0,0.64,0.15,0.78,0.64,0.78,
