Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1996-1997,23,Lazio,it ITA,1. Serie A,4th,32,32,2819,31.3,7,,,7,0,,8,0,0.22,,,0.22,,Matches
1997-1998,24,Lazio,it ITA,1. Serie A,7th,26,21,1956,21.7,11,,,11,0,,10,1,0.51,,,0.51,,Matches
1998-1999,25,Lazio,it ITA,1. Serie A,2nd,21,18,1618,18.0,1,3,4,1,0,0,4,1,0.06,0.17,0.22,0.06,0.22,Matches
1999-2000,26,Lazio,it ITA,1. Serie A,1st,28,28,2341,26.0,5,1,6,5,0,0,4,1,0.19,0.04,0.23,0.19,0.23,Matches
2000-2001,27,Lazio,it ITA,1. Serie A,3rd,31,30,2526,28.1,8,6,14,8,0,0,4,0,0.29,0.21,0.50,0.29,0.50,Matches
2001-2002,28,Juventus,it ITA,1. Serie A,1st,32,32,2664,29.6,4,11,15,4,0,0,5,0,0.14,0.37,0.51,0.14,0.51,Matches
2002-2003,29,Juventus,it ITA,1. Serie A,1st,29,27,2290,25.4,8,11,19,8,0,0,3,0,0.31,0.43,0.75,0.31,0.75,Matches
2003-2004,30,Juventus,it ITA,1. Serie A,3rd,30,28,2445,27.2,6,8,14,6,0,0,5,0,0.22,0.29,0.52,0.22,0.52,Matches
2004-2005,31,Juventus,it ITA,1. Serie A,1st,27,27,2381,26.5,7,6,13,7,0,0,7,0,0.26,0.23,0.49,0.26,0.49,Matches
2005-2006,32,Juventus,it ITA,1. Serie A,20th,33,31,2716,30.2,5,8,13,5,0,0,6,1,0.17,0.27,0.43,0.17,0.43,Matches
2006-2007,33,Juventus,it ITA,2. Serie B,1st,33,33,2941,32.7,11,8,19,11,0,0,8,1,0.34,0.24,0.58,0.34,0.58,
2007-2008,34,Juventus,it ITA,1. Serie A,3rd,31,28,2355,26.2,2,4,6,2,0,0,6,2,0.08,0.15,0.23,0.08,0.23,Matches
2008-2009,35,Juventus,it ITA,1. Serie A,2nd,32,28,2505,27.8,7,6,13,7,0,0,4,0,0.25,0.22,0.47,0.25,0.47,Matches
13 Seasons,13 Seasons,2 Clubs,,2 Leagues,,385,363,31557,350.6,82,72,136,82,0,0,74,7,0.23,0.24,0.46,0.23,0.46,
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Juventus (8 Seasons),Juventus (8 Seasons),Juventus (8 Seasons),,2 Leagues,,247,234,20297,225.5,50,62,112,50,0,0,44,4,0.22,0.27,0.50,0.22,0.50,
Lazio (5 Seasons),Lazio (5 Seasons),Lazio (5 Seasons),,1 League,,138,129,11260,125.1,32,10,24,32,0,0,30,3,0.26,0.14,0.33,0.26,0.33,
,,,,,,,,,,,,,,,,,,,,,,,
Serie A (12 Seasons),Serie A (12 Seasons),Serie A (12 Seasons),,,,352,330,28616,318.0,71,64,117,71,0,0,66,6,0.22,0.24,0.44,0.22,0.44,
Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,33,33,2941,32.7,11,8,19,11,0,0,8,1,0.34,0.24,0.58,0.34,0.58,
