Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1988-1989,21,Fiorentina,it ITA,1. Serie A,7th,30,30,2632,29.2,15,,,9,6,,2,3,0.51,,,0.31,,Matches
1989-1990,22,Fiorentina,it ITA,1. Serie A,12th,32,32,2815,31.3,17,,,8,9,,4,0,0.54,,,0.26,,Matches
1990-1991,23,Juventus,it ITA,1. Serie A,7th,33,33,2785,30.9,14,,,8,6,,3,0,0.45,,,0.26,,Matches
1991-1992,24,Juventus,it ITA,1. Serie A,2nd,32,32,2701,30.0,18,,,10,8,,1,0,0.60,,,0.33,,Matches
1992-1993,25,Juventus,it ITA,1. Serie A,4th,27,26,2246,25.0,21,,,18,3,,1,0,0.84,,,0.72,,Matches
1993-1994,26,Juventus,it ITA,1. Serie A,2nd,32,32,2765,30.7,17,,,11,6,,2,0,0.55,,,0.36,,Matches
1994-1995,27,Juventus,it ITA,1. Serie A,1st,17,17,1451,16.1,8,,,6,2,,1,0,0.50,,,0.37,,Matches
1995-1996,28,Milan,it ITA,1. Serie A,1st,28,26,2009,22.3,7,,,4,3,,0,0,0.31,,,0.18,,Matches
1996-1997,29,Milan,it ITA,1. Serie A,11th,23,16,1485,16.5,5,,,5,0,,3,0,0.30,,,0.30,,Matches
1997-1998,30,Bologna,it ITA,1. Serie A,8th,30,27,2314,25.7,22,,,11,11,,2,1,0.86,,,0.43,,Matches
1998-1999,31,Inter,it ITA,1. Serie A,8th,23,17,1609,17.9,5,10,15,5,0,0,2,0,0.28,0.56,0.84,0.28,0.84,Matches
1999-2000,32,Inter,it ITA,1. Serie A,4th,18,7,767,8.5,4,4,8,3,1,1,0,0,0.47,0.47,0.94,0.35,0.82,Matches
2000-2001,33,Brescia,it ITA,1. Serie A,8th,24,24,2154,23.9,10,9,19,7,3,3,2,0,0.42,0.38,0.79,0.29,0.67,Matches
2001-2002,34,Brescia,it ITA,1. Serie A,13th,12,10,851,9.5,11,3,14,8,3,4,0,0,1.16,0.32,1.48,0.85,1.16,Matches
2002-2003,35,Brescia,it ITA,1. Serie A,9th,32,32,2872,31.9,12,9,21,7,5,8,1,0,0.38,0.28,0.66,0.22,0.50,Matches
2003-2004,36,Brescia,it ITA,1. Serie A,11th,26,25,2141,23.8,12,11,23,12,0,3,1,0,0.50,0.46,0.97,0.50,0.97,Matches
16 Seasons,16 Seasons,6 Clubs,,1 League,,419,386,33597,373.3,198,46,100,132,66,19,25,4,0.53,0.40,0.87,0.35,0.76,
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Juventus (5 Seasons),Juventus (5 Seasons),Juventus (5 Seasons),,1 League,,141,140,11948,132.8,78,,,53,25,,8,0,0.59,,,0.40,,
Brescia (4 Seasons),Brescia (4 Seasons),Brescia (4 Seasons),,1 League,,94,91,8018,89.1,45,32,77,34,11,18,4,0,0.51,0.36,0.86,0.38,0.74,
Fiorentina (2 Seasons),Fiorentina (2 Seasons),Fiorentina (2 Seasons),,1 League,,62,62,5447,60.5,32,,,17,15,,6,3,0.53,,,0.28,,
Milan (2 Seasons),Milan (2 Seasons),Milan (2 Seasons),,1 League,,51,42,3494,38.8,12,,,9,3,,3,0,0.31,,,0.23,,
Inter (2 Seasons),Inter (2 Seasons),Inter (2 Seasons),,1 League,,41,24,2376,26.4,9,14,23,8,1,1,2,0,0.34,0.53,0.87,0.30,0.83,
Bologna (1 Season),Bologna (1 Season),Bologna (1 Season),,1 League,,30,27,2314,25.7,22,,,11,11,,2,1,0.86,,,0.43,,
