Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
2001-2002,21,Paris S-G,fr FRA,1. Division 1,4th,28,19,1919,21.3,9,8,17,6,3,3,8,0,0.42,0.38,0.80,0.28,0.66,Matches
2002-2003,22,Paris S-G,fr FRA,1. Ligue 1,11th,27,20,1926,21.4,8,7,15,5,3,4,3,1,0.37,0.33,0.70,0.23,0.56,Matches
2003-2004,23,Barcelona,es ESP,1. La Liga,2nd,32,32,2677,29.7,15,5,20,13,2,2,10,1,0.50,0.17,0.67,0.44,0.61,Matches
2004-2005,24,Barcelona,es ESP,1. La Liga,1st,35,35,3071,34.1,9,9,18,6,3,4,5,0,0.26,0.26,0.53,0.18,0.44,Matches
2005-2006,25,Barcelona,es ESP,1. La Liga,1st,29,29,2523,28.0,17,14,31,10,7,8,5,0,0.61,0.50,1.11,0.36,0.86,Matches
2006-2007,26,Barcelona,es ESP,1. La Liga,2nd,32,32,2733,30.4,21,8,29,14,7,8,8,1,0.69,0.26,0.95,0.46,0.72,Matches
2007-2008,27,Barcelona,es ESP,1. La Liga,3rd,17,13,1168,13.0,8,2,10,6,2,2,0,0,0.62,0.15,0.77,0.46,0.62,Matches
2008-2009,28,Milan,it ITA,1. Serie A,3rd,29,16,1612,17.9,8,5,13,6,2,3,0,0,0.45,0.28,0.73,0.33,0.61,Matches
2009-2010,29,Milan,it ITA,1. Serie A,3rd,36,34,2886,32.1,12,13,25,7,5,8,6,0,0.37,0.41,0.78,0.22,0.62,Matches
2010-2011,30,Milan,it ITA,1. Serie A,1st,11,7,608,6.8,0,3,3,0,0,0,0,0,0.00,0.44,0.44,0.00,0.44,Matches
2014,33,Atlético Mineiro,br BRA,1. Série A,5th,2,2,155,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2014-2015,34,Querétaro,mx MEX,1. Liga MX,9th,20,15,1354,15.0,7,6,13,4,3,3,6,0,0.47,0.40,0.86,0.27,0.66,Matches
2015,34,Fluminense,br BRA,1. Série A,13th,7,6,465,5.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
12 Seasons,12 Seasons,6 Clubs,,5 Leagues,,305,260,23097,256.6,114,80,194,77,37,45,52,3,0.44,0.31,0.76,0.30,0.61,
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Barcelona (5 Seasons),Barcelona (5 Seasons),Barcelona (5 Seasons),,1 League,,145,141,12172,135.2,70,38,108,49,21,24,28,2,0.52,0.28,0.80,0.36,0.64,
Milan (3 Seasons),Milan (3 Seasons),Milan (3 Seasons),,1 League,,76,57,5106,56.7,20,21,41,13,7,11,6,0,0.35,0.37,0.72,0.23,0.60,
Paris S-G (2 Seasons),Paris S-G (2 Seasons),Paris S-G (2 Seasons),,1 League,,55,39,3845,42.7,17,15,32,11,6,7,11,1,0.40,0.35,0.75,0.26,0.61,
Querétaro (1 Season),Querétaro (1 Season),Querétaro (1 Season),,1 League,,20,15,1354,15.0,7,6,13,4,3,3,6,0,0.47,0.40,0.86,0.27,0.66,
Fluminense (1 Season),Fluminense (1 Season),Fluminense (1 Season),,1 League,,7,6,465,5.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,
Atlético Mineiro (1 Season),Atlético Mineiro (1 Season),Atlético Mineiro (1 Season),,1 League,,2,2,155,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,,,,,,,,,,,
La Liga (5 Seasons),La Liga (5 Seasons),La Liga (5 Seasons),,,,145,141,12172,135.2,70,38,108,49,21,24,28,2,0.52,0.28,0.80,0.36,0.64,
Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,76,57,5106,56.7,20,21,41,13,7,11,6,0,0.35,0.37,0.72,0.23,0.60,
Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),,,,55,39,3845,42.7,17,15,32,11,6,7,11,1,0.40,0.35,0.75,0.26,0.61,
Série A (2 Seasons),Série A (2 Seasons),Série A (2 Seasons),,,,9,8,620,6.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,
Liga MX (1 Season),Liga MX (1 Season),Liga MX (1 Season),,,,20,15,1354,15.0,7,6,13,4,3,3,6,0,0.47,0.40,0.86,0.27,0.66,
