Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1988-1989,25,Milan,it ITA,1. Serie A,3rd,19,17,1456,16.2,5,,,5,0,,1,0,0.31,,,0.31,,Matches
1989-1990,26,Milan,it ITA,1. Serie A,2nd,2,1,97,1.1,0,,,0,0,,0,0,0.00,,,0.00,,Matches
1990-1991,27,Milan,it ITA,1. Serie A,2nd,26,25,2227,24.7,7,,,7,0,,2,0,0.28,,,0.28,,Matches
1991-1992,28,Milan,it ITA,1. Serie A,1st,26,25,2001,22.2,7,,,7,0,,1,0,0.31,,,0.31,,Matches
1992-1993,29,Milan,it ITA,1. Serie A,1st,15,13,1155,12.8,7,,,7,0,,1,0,0.55,,,0.55,,Matches
1993-1994,30,Sampdoria,it ITA,1. Serie A,3rd,31,30,2658,29.5,15,,,14,1,,1,0,0.51,,,0.47,,Matches
1994-1995,31,Sampdoria,it ITA,1. Serie A,8th,22,21,1912,21.2,9,,,9,0,,0,0,0.42,,,0.42,,Matches
1994-1995,31,Milan,it ITA,1. Serie A,4th,8,8,720,8.0,3,,,3,0,,0,0,0.37,,,0.37,,Matches
1995-1996,32,Chelsea,eng ENG,1. Premier League,11th,31,31,2736,30.4,3,4,7,3,0,0,2,0,0.10,0.13,0.23,0.10,0.23,Matches
1996-1997,33,Chelsea,eng ENG,1. Premier League,6th,12,6,680,7.6,1,0,1,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches
1997-1998,34,Chelsea,eng ENG,1. Premier League,4th,6,0,192,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
10 Seasons,10 Seasons,3 Clubs,,2 Leagues,,198,177,15834,175.9,57,4,8,56,1,0,9,0,0.32,0.10,0.20,0.32,0.20,
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Milan (6 Seasons),Milan (6 Seasons),Milan (6 Seasons),,1 League,,96,89,7656,85.1,29,,,29,0,,5,0,0.34,,,0.34,,
Chelsea (3 Seasons),Chelsea (3 Seasons),Chelsea (3 Seasons),,1 League,,49,37,3608,40.1,4,4,8,4,0,0,3,0,0.10,0.10,0.20,0.10,0.20,
Sampdoria (2 Seasons),Sampdoria (2 Seasons),Sampdoria (2 Seasons),,1 League,,53,51,4570,50.8,24,,,23,1,,1,0,0.47,,,0.45,,
,,,,,,,,,,,,,,,,,,,,,,,
Serie A (7 Seasons),Serie A (7 Seasons),Serie A (7 Seasons),,,,149,140,12226,135.8,53,,,52,1,,6,0,0.39,,,0.38,,
Premier League (3 Seasons),Premier League (3 Seasons),Premier League (3 Seasons),,,,49,37,3608,40.1,4,4,8,4,0,0,3,0,0.10,0.10,0.20,0.10,0.20,
